asset,timestamp,open,high,low,close,adjusted_close,volume,corporate_action,source,source_timestamp,ingested_at
SPY,1993-01-29,43.96875,43.96875,43.75,43.9375,24.113256454467773,1003200,,yahoo-finance-chart-api-v8,1993-01-29T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-01,43.96875,44.25,43.96875,44.25,24.28475570678711,480500,,yahoo-finance-chart-api-v8,1993-02-01T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-02,44.21875,44.375,44.125,44.34375,24.336206436157227,201300,,yahoo-finance-chart-api-v8,1993-02-02T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-03,44.40625,44.84375,44.375,44.8125,24.593473434448242,529400,,yahoo-finance-chart-api-v8,1993-02-03T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-04,44.96875,45.09375,44.46875,45.0,24.69637680053711,531500,,yahoo-finance-chart-api-v8,1993-02-04T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-05,44.96875,45.0625,44.71875,44.96875,24.679224014282227,492100,,yahoo-finance-chart-api-v8,1993-02-05T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-08,44.96875,45.125,44.90625,44.96875,24.679224014282227,596100,,yahoo-finance-chart-api-v8,1993-02-08T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-09,44.8125,44.8125,44.5625,44.65625,24.50771713256836,122100,,yahoo-finance-chart-api-v8,1993-02-09T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-10,44.65625,44.75,44.53125,44.71875,24.542009353637695,379600,,yahoo-finance-chart-api-v8,1993-02-10T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-11,44.78125,45.125,44.78125,44.9375,24.66206932067871,19500,,yahoo-finance-chart-api-v8,1993-02-11T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-12,44.875,44.875,44.59375,44.59375,24.473430633544922,42500,,yahoo-finance-chart-api-v8,1993-02-12T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-16,44.46875,44.46875,43.40625,43.46875,23.85601234436035,374800,,yahoo-finance-chart-api-v8,1993-02-16T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-17,43.46875,43.53125,43.28125,43.4375,23.838857650756836,210900,,yahoo-finance-chart-api-v8,1993-02-17T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-18,43.9375,43.9375,42.8125,43.40625,23.82171058654785,378100,,yahoo-finance-chart-api-v8,1993-02-18T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-19,43.40625,43.5625,43.34375,43.5625,23.907445907592773,34900,,yahoo-finance-chart-api-v8,1993-02-19T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-22,43.6875,43.78125,43.5625,43.71875,23.993213653564453,513600,,yahoo-finance-chart-api-v8,1993-02-22T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-23,43.84375,43.875,43.46875,43.6875,23.97605323791504,373700,,yahoo-finance-chart-api-v8,1993-02-23T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-24,43.71875,44.25,43.71875,44.25,24.28475570678711,26300,,yahoo-finance-chart-api-v8,1993-02-24T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-25,44.21875,44.375,44.125,44.34375,24.336206436157227,44500,,yahoo-finance-chart-api-v8,1993-02-25T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-02-26,44.4375,44.4375,44.1875,44.40625,24.370521545410156,66200,,yahoo-finance-chart-api-v8,1993-02-26T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-01,44.5625,44.5625,44.21875,44.28125,24.301912307739258,66500,,yahoo-finance-chart-api-v8,1993-03-01T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-02,44.3125,44.9375,44.25,44.9375,24.66206932067871,182400,,yahoo-finance-chart-api-v8,1993-03-02T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-03,45.0,45.15625,44.9375,45.125,24.764978408813477,280100,,yahoo-finance-chart-api-v8,1993-03-03T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-04,45.1875,45.1875,44.875,44.875,24.62777328491211,89500,,yahoo-finance-chart-api-v8,1993-03-04T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-05,44.9375,45.125,44.71875,44.75,24.559165954589844,40000,,yahoo-finance-chart-api-v8,1993-03-05T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-08,44.84375,45.75,44.84375,45.75,25.10796356201172,50800,,yahoo-finance-chart-api-v8,1993-03-08T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-09,45.65625,45.6875,45.5,45.59375,25.0222225189209,169300,,yahoo-finance-chart-api-v8,1993-03-09T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-10,45.59375,45.6875,45.40625,45.6875,25.073667526245117,194400,,yahoo-finance-chart-api-v8,1993-03-10T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-11,45.71875,45.84375,45.5,45.5625,25.005081176757812,70900,,yahoo-finance-chart-api-v8,1993-03-11T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-12,45.1875,45.21875,44.8125,45.09375,24.747812271118164,643600,,yahoo-finance-chart-api-v8,1993-03-12T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-15,45.0625,45.3125,45.0625,45.3125,24.86786651611328,310800,,yahoo-finance-chart-api-v8,1993-03-15T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-16,45.3125,45.4375,45.3125,45.3125,24.86786651611328,30800,,yahoo-finance-chart-api-v8,1993-03-16T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-17,45.25,45.25,44.96875,45.03125,24.713523864746094,21800,,yahoo-finance-chart-api-v8,1993-03-17T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-18,45.21875,45.5,45.21875,45.3125,24.86786651611328,59300,,yahoo-finance-chart-api-v8,1993-03-18T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-19,45.28125,45.28125,45.03125,45.03125,24.830242156982422,66900,"{""dividend_amount"": 0.213}",yahoo-finance-chart-api-v8,1993-03-19T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-22,44.59375,44.875,44.5625,44.78125,24.6923885345459,183400,,yahoo-finance-chart-api-v8,1993-03-22T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-23,44.90625,44.9375,44.8125,44.875,24.74408531188965,55200,,yahoo-finance-chart-api-v8,1993-03-23T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-24,44.8125,45.0625,44.59375,44.875,24.74408531188965,37200,,yahoo-finance-chart-api-v8,1993-03-24T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
SPY,1993-03-25,44.90625,45.25,44.84375,45.15625,24.899158477783203,110100,,yahoo-finance-chart-api-v8,1993-03-25T14:30:00+00:00,2026-08-26T07:33:56.620649+00:00
