asset,timestamp,open,high,low,close,adjusted_close,volume,corporate_action,source,source_timestamp,ingested_at
TLT,2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,35.69187927246094,6100,,yahoo-finance-chart-api-v8,2002-07-30T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,36.13408660888672,29400,,yahoo-finance-chart-api-v8,2002-07-31T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,36.339874267578125,25000,,yahoo-finance-chart-api-v8,2002-08-01T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,36.71204376220703,52800,,yahoo-finance-chart-api-v8,2002-08-02T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,36.87401580810547,61100,,yahoo-finance-chart-api-v8,2002-08-05T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,36.558773040771484,64900,,yahoo-finance-chart-api-v8,2002-08-06T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,36.6463737487793,40300,,yahoo-finance-chart-api-v8,2002-08-07T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,36.6463737487793,40900,,yahoo-finance-chart-api-v8,2002-08-08T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,37.16297912597656,35900,,yahoo-finance-chart-api-v8,2002-08-09T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,37.390682220458984,32100,,yahoo-finance-chart-api-v8,2002-08-12T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
TLT,2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,37.85039520263672,75400,,yahoo-finance-chart-api-v8,2002-08-13T13:30:00+00:00,2026-08-26T07:36:33.079341+00:00
