timestamp,open,high,low,close,adjusted_close,volume,corporate_action
2021-09-29,144.8000030517578,145.42999267578125,143.69000244140625,144.33999633789062,121.46477508544922,23569400,
2021-09-30,144.10000610351562,144.50999450683594,143.64999389648438,144.32000732421875,121.44795989990234,22567600,
2021-10-01,144.85000610351562,145.39999389648438,144.1999969482422,145.35000610351562,122.47002410888672,26151800,"{""dividend_amount"": 0.183}"
2021-10-04,144.6699981689453,145.4600067138672,144.10000610351562,144.97999572753906,122.15823364257812,28027600,
2021-10-05,144.60000610351562,144.6999969482422,143.4600067138672,143.5800018310547,120.97867584228516,22659200,
2021-10-06,144.22999572753906,144.72000122070312,144.02999877929688,144.38999938964844,121.6611328125,18696500,
2021-10-07,143.19000244140625,143.33999633789062,142.58999633789062,142.8800048828125,120.38883972167969,14856000,
2021-10-08,142.25999450683594,142.35000610351562,141.52999877929688,141.8800048828125,119.54623413085938,17257800,
2021-10-11,141.60000610351562,141.89999389648438,141.4499969482422,141.52000427246094,119.242919921875,7213400,
2021-10-12,142.6300048828125,144.00999450683594,142.47999572753906,143.94000244140625,121.28196716308594,17968700,
2021-10-13,144.61000061035156,145.52999877929688,144.5800018310547,145.33999633789062,122.46156311035156,23584600,
2021-10-14,145.3699951171875,145.9600067138672,144.9499969482422,145.8800048828125,122.91656494140625,12946400,
2021-10-15,145.0,145.13999938964844,144.47000122070312,145.02999877929688,122.20036315917969,11811500,
2021-10-18,145.0,146.0,144.52000427246094,145.7100067138672,122.7733383178711,12115900,
2021-10-19,144.66000366210938,144.72999572753906,143.64999389648438,143.6999969482422,121.07968139648438,12156300,
2021-10-20,143.25,143.67999267578125,142.50999450683594,142.72999572753906,120.2624282836914,12782500,
2021-10-21,143.0,143.14999389648438,142.22999572753906,142.55999755859375,120.11919403076172,13660000,
2021-10-22,143.4499969482422,144.39999389648438,143.2100067138672,144.1300048828125,121.4420166015625,13740000,
2021-10-25,143.6699981689453,144.3000030517578,143.6300048828125,143.91000366210938,121.25666809082031,8137900,
2021-10-26,144.6199951171875,145.10000610351562,143.74000549316406,145.10000610351562,122.25933837890625,13671000,
2021-10-27,146.39999389648438,148.17999267578125,145.92999267578125,147.74000549316406,124.48380279541016,22092300,
2021-10-28,147.7899932861328,148.3300018310547,146.83999633789062,147.24000549316406,124.06246185302734,17497600,
2021-10-29,146.47000122070312,148.0,146.32000732421875,147.69000244140625,124.44159698486328,19087300,
2021-11-01,145.8000030517578,146.75999450683594,145.6999969482422,146.44000244140625,123.54574584960938,18035500,"{""dividend_amount"": 0.188}"
2021-11-02,146.5,147.57000732421875,146.5,147.08999633789062,124.09403228759766,9836700,
2021-11-03,147.82000732421875,147.97999572753906,145.52999877929688,145.57000732421875,122.81172943115234,20639400,
2021-11-04,145.8699951171875,147.36000061035156,145.85000610351562,147.10000610351562,124.10253143310547,15922400,
2021-11-05,148.52000427246094,149.5800018310547,148.1300048828125,149.3000030517578,125.95865631103516,21513000,
2021-11-08,148.9600067138672,149.27999877929688,148.50999450683594,149.02000427246094,125.72237396240234,12083800,
2021-11-09,150.8000030517578,151.77000427246094,150.63999938964844,150.9600067138672,127.35910034179688,23430200,
2021-11-10,150.8300018310547,150.92999267578125,147.02999877929688,148.1999969482422,125.03057861328125,28170600,
2021-11-11,148.50999450683594,148.66000366210938,147.88999938964844,147.97999572753906,124.84490203857422,5552500,
2021-11-12,148.0,148.50999450683594,146.75999450683594,147.3300018310547,124.29656982421875,12712000,
2021-11-15,146.88999938964844,146.9600067138672,145.22000122070312,145.47999572753906,122.73576354980469,15232700,
2021-11-16,145.69000244140625,146.3800048828125,144.85000610351562,145.11000061035156,122.42363739013672,12998700,
2021-11-17,144.57000732421875,146.2899932861328,144.4600067138672,146.25999450683594,123.39384460449219,14239900,
2021-11-18,145.99000549316406,146.89999389648438,145.9499969482422,146.80999755859375,123.85784912109375,11054600,
2021-11-19,147.5800018310547,148.60000610351562,147.5800018310547,148.36000061035156,125.16557312011719,14022100,
2021-11-22,147.39999389648438,147.63999938964844,146.1300048828125,146.6199951171875,123.69752502441406,15266000,
2021-11-23,145.92999267578125,146.11000061035156,144.5,144.5,121.90899658203125,15318500,
2021-11-24,144.94000244140625,146.82000732421875,144.7899932861328,146.82000732421875,123.86628723144531,13769700,
2021-11-26,148.8300018310547,150.67999267578125,148.6699981689453,150.52999877929688,126.9963150024414,20064800,
2021-11-29,148.30999755859375,149.63999938964844,148.1699981689453,149.32000732421875,125.97541046142578,23234200,
2021-11-30,150.8300018310547,152.07000732421875,150.25,151.58999633789062,127.89054870605469,31481100,
2021-12-01,150.49000549316406,152.41000366210938,149.7899932861328,152.33999633789062,128.679443359375,30826500,"{""dividend_amount"": 0.184}"
2021-12-02,152.92999267578125,152.99000549316406,150.75999450683594,152.52999877929688,128.83998107910156,17754200,
2021-12-03,151.67999267578125,155.1199951171875,151.35000610351562,154.35000610351562,130.37728881835938,34427100,
2021-12-06,154.0500030517578,154.35000610351562,151.92999267578125,152.22999572753906,128.58651733398438,30924200,
